00:00:03.404 -> (3.3040077686, 3.3333332538, 1.6666666030, 3.3284456729, 3.2795698642, 3.2746822834)
00:00:03.510 -> (3.2991201877, 3.3333332538, 1.6911046504, 3.3137829303, 3.2746822834, 3.2697947025)
00:00:03.616 -> (3.2991201877, 3.3333332538, 1.6862169265, 3.3577711582, 3.2893450260, 3.2746822834)
00:00:03.722 -> (3.3040077686, 3.3382208347, 1.6715541839, 3.2942326068, 3.2697947025, 3.2649071216)
00:00:03.828 -> (3.3040077686, 3.3333332538, 1.6715541839, 3.3186705112, 3.2844574451, 3.2795698642)
00:00:03.934 -> (3.2991201877, 3.3333332538, 1.6862169265, 3.3088953495, 3.2697947025, 3.2649071216)
00:00:04.040 -> (3.2893450260, 3.3284456729, 1.6373411178, 3.3431084156, 3.2942326068, 3.2795698642)
00:00:04.147 -> (3.3137829303, 3.3333332538, 1.6520038604, 3.3040077686, 3.2844574451, 3.2893450260)
00:00:04.252 -> (3.3088953495, 3.3333332538, 1.6520038604, 3.2991201877, 3.2697947025, 3.2795698642)
00:00:04.359 -> (3.3235580921, 3.3333332538, 1.6129032135, 3.2991201877, 3.2746822834, 3.2844574451)
00:00:04.464 -> (3.3137829303, 3.3284456729, 1.6764417648, 3.3284456729, 3.2893450260, 3.2795698642)
00:00:04.571 -> (3.2991201877, 3.3333332538, 1.6520038604, 3.3235580921, 3.2746822834, 3.2746822834)
00:00:04.677 -> (3.3088953495, 3.3333332538, 1.6422286987, 3.2942326068, 3.2746822834, 3.2844574451)
00:00:04.783 -> (3.3040077686, 3.3284456729, 1.6715541839, 3.3137829303, 3.2942326068, 3.2795698642)
00:00:04.889 -> (3.3040077686, 3.3382208347, 1.6568914413, 3.3040077686, 3.2795698642, 3.2795698642)
00:00:04.995 -> (3.3088953495, 3.3382208347, 1.6471162796, 3.3088953495, 3.2795698642, 3.2795698642)
00:00:05.101 -> (3.3088953495, 3.3284456729, 1.6617790222, 3.2991201877, 3.2795698642, 3.2746822834)
00:00:05.208 -> (3.3088953495, 3.3333332538, 1.6422286987, 3.2942326068, 3.2795698642, 3.2795698642)
00:00:05.313 -> (3.3040077686, 3.3235580921, 1.6373411178, 3.3235580921, 3.2697947025, 3.2844574451)
00:00:05.420 -> (3.3088953495, 3.3284456729, 1.6520038604, 3.3088953495, 3.2746822834, 3.2844574451)
00:00:05.525 -> (3.3088953495, 3.3333332538, 1.6422286987, 3.3040077686, 3.2844574451, 3.2795698642)
00:00:05.632 -> (3.2991201877, 3.3382208347, 1.6471162796, 3.3088953495, 3.2795698642, 3.2795698642)
00:00:05.738 -> (3.3040077686, 3.3333332538, 1.6520038604, 3.3235580921, 3.2844574451, 3.2746822834)
00:00:05.843 -> (3.3137829303, 3.3382208347, 1.6568914413, 3.3186705112, 3.2893450260, 3.2746822834)
